Date,High,Low,Open,Close,Volume,Adj Close
2018-09-24,151.1999969482422,149.4600067138672,151.10000610351562,150.02999877929688,4265000.0,143.03268432617188
2018-09-25,150.41000366210938,148.36000061035156,149.91000366210938,148.91000366210938,4397500.0,141.96493530273438
2018-09-26,153.35000610351562,151.33999633789062,152.39999389648438,151.61000061035156,7401900.0,144.53900146484375
2018-09-27,152.38999938964844,151.16000366210938,152.00999450683594,151.5,3477600.0,144.43414306640625
2018-09-28,151.6300048828125,150.7899932861328,151.16000366210938,151.2100067138672,3305800.0,144.1576690673828
2018-10-01,153.4199981689453,151.7100067138672,151.7100067138672,153.0,3757400.0,145.86416625976562
2018-10-02,153.83999633789062,152.5,152.99000549316406,153.75,3029900.0,146.5791778564453
2018-10-03,154.36000061035156,152.8000030517578,154.0,153.22000122070312,3315300.0,146.0738983154297
2018-10-04,152.8000030517578,150.36000061035156,151.69000244140625,151.30999755859375,4237900.0,144.25299072265625
2018-10-05,151.7899932861328,147.8699951171875,150.89999389648438,149.02999877929688,4602200.0,142.07933044433594
2018-10-08,149.07000732421875,147.17999267578125,148.5,148.38999938964844,3239300.0,141.4691619873047
2018-10-09,148.36000061035156,146.92999267578125,148.0800018310547,147.24000549316406,3642400.0,140.37281799316406
2018-10-10,147.69000244140625,142.5,147.5,142.69000244140625,5547700.0,136.03500366210938
2018-10-11,144.19000244140625,138.77999877929688,142.6199951171875,139.02000427246094,8710500.0,132.5361785888672
2018-10-12,141.5399932861328,139.0800018310547,141.1199951171875,140.85000610351562,6563400.0,134.2808380126953
2018-10-15,142.25999450683594,140.13999938964844,140.3800048828125,141.1300048828125,4965500.0,134.54779052734375
2018-10-16,145.4499969482422,141.5800018310547,142.92999267578125,145.1199951171875,8695500.0,138.3516845703125
2018-10-17,137.14999389648438,133.4199981689453,135.88999938964844,134.0500030517578,19464000.0,127.79798889160156
2018-10-18,133.39999389648438,130.0399932861328,132.72999572753906,130.5500030517578,10011700.0,124.46121978759766
2018-10-19,131.88999938964844,127.95999908447266,130.64999389648438,129.10000610351562,7791600.0,123.078857421875
2018-10-22,130.44000244140625,128.39999389648438,129.5800018310547,130.02000427246094,5719500.0,123.95594024658203
2018-10-23,131.89999389648438,128.41000366210938,129.02000427246094,131.2100067138672,6463600.0,125.09044647216797
2018-10-24,131.69000244140625,127.0,131.1699981689453,127.20999908447266,5710300.0,121.2770004272461
2018-10-25,127.79000091552734,125.13999938964844,127.25,126.44999694824219,10304300.0,120.55244445800781
2018-10-26,125.77999877929688,123.70999908447266,125.20999908447266,124.79000091552734,8767000.0,118.96986389160156
2018-10-29,123.94999694824219,118.30000305175781,119.33999633789062,119.63999938964844,20450400.0,114.06005859375
2018-10-30,121.5,115.1500015258789,120.4800033569336,115.4000015258789,21458600.0,110.01780700683594
2018-10-31,116.5,114.08999633789062,116.48999786376953,115.43000030517578,21645000.0,110.0464096069336
2018-11-01,117.0,115.11000061035156,115.5,116.83000183105469,13626700.0,111.38111877441406
2018-11-02,117.75,114.54000091552734,117.51000213623047,115.66999816894531,10592700.0,110.27521514892578
2018-11-05,120.7699966430664,116.0,116.0999984741211,120.05999755859375,9144600.0,114.46046447753906
2018-11-06,123.80999755859375,120.30999755859375,120.69999694824219,123.12000274658203,9597400.0,117.37776184082031
2018-11-07,125.05999755859375,122.33000183105469,123.79000091552734,124.83999633789062,12382700.0,119.01752471923828
2018-11-08,124.4000015258789,122.62999725341797,122.66000366210938,123.37999725341797,10396400.0,119.12373352050781
2018-11-09,124.56999969482422,121.95999908447266,123.61000061035156,123.54000091552734,6961800.0,119.27822875976562
2018-11-12,123.56999969482422,120.6500015258789,123.5,120.9000015258789,5379100.0,116.72929382324219
2018-11-13,122.25,119.9000015258789,121.19000244140625,120.83999633789062,4084400.0,116.67135620117188
2018-11-14,121.93000030517578,119.7699966430664,121.11000061035156,120.19999694824219,4762300.0,116.0534439086914
